Date,AXISBANK.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,PNB.NS,SBIN.NS
2024-06-13,1172.741943359375,779.8340454101562,1089.49169921875,344.4947814941406,121.56970977783203,812.6405639648438
2024-06-14,1179.131591796875,787.80126953125,1087.8192138671875,342.6689147949219,123.84608459472656,808.1146240234375
2024-06-18,1189.9638671875,793.1786499023438,1104.7418212890625,343.10791015625,123.54833221435547,813.603515625
2024-06-19,1224.657470703125,817.869873046875,1125.993408203125,348.5556640625,123.22175598144531,821.0181884765625
2024-06-20,1237.486572265625,823.5431518554688,1138.144287109375,352.4568786621094,123.41386413574219,812.4960327148438
2024-06-21,1235.43994140625,821.7671508789062,1139.9644775390625,354.3326721191406,122.25736999511719,805.322021484375
2024-06-24,1226.1051025390625,825.0478515625,1151.229736328125,353.7140808105469,121.54792785644531,801.8554077148438
2024-06-25,1269.3846435546875,844.2631225585938,1178.630615234375,355.5798645019531,120.6343994140625,811.0516357421875
2024-06-26,1283.31201171875,839.40380859375,1198.357421875,358.82257080078125,120.85792541503906,814.0367431640625
2024-06-27,1286.856201171875,836.7644653320312,1200.2266845703125,365.2879943847656,115.84323120117188,812.73681640625
2024-06-28,1263.1947021484375,830.6718139648438,1180.254150390625,359.69061279296875,119.78890228271484,817.5034790039062
2024-07-01,1259.8502197265625,841.2291259765625,1192.3065185546875,360.80810546875,119.01142883300781,810.7627563476562
2024-07-02,1251.364013671875,853.7597045898438,1171.399169921875,353.1253967285156,117.23295593261719,795.5480346679688
2024-07-03,1277.9207763671875,872.5310668945312,1182.2218017578125,361.3269348144531,118.21451568603516,808.8368530273438
2024-07-04,1278.8193359375,852.0578002929688,1213.115478515625,365.946533203125,118.10761260986328,808.2108764648438
2024-07-05,1284.9593505859375,813.0598754882812,1213.509033203125,369.70806884765625,119.34185791015625,827.9033813476562
2024-07-08,1285.7579345703125,806.7698974609375,1215.1324462890625,369.807861328125,117.9424057006836,824.5330200195312
2024-07-09,1287.305419921875,807.3372192382812,1228.1195068359375,368.7402648925781,118.94339752197266,829.3959350585938
2024-07-10,1289.5518798828125,802.2066040039062,1223.15087890625,365.1483459472656,115.8626708984375,817.5515747070312
2024-07-11,1294.6435546875,800.1345825195312,1218.4775390625,368.0717468261719,116.03759765625,824.9664306640625
2024-07-12,1316.1751708984375,800.5292358398438,1213.01708984375,365.7469787597656,114.42434692382812,827.855224609375
2024-07-15,1306.33349609375,800.2332763671875,1210.1146240234375,367.8821716308594,117.5245132446289,848.7033081054688
2024-07-16,1302.886474609375,799.073974609375,1219.9041748046875,360.2493591308594,116.48464965820312,848.0773315429688
2024-07-18,1308.281982421875,796.6319580078125,1230.1365966796875,364.52972412109375,115.49336242675781,860.451416015625
